,ciudad,lat,lon,contador_palabras
0,Bogotá,4.649178,-74.062827,33
1,Bogotá,4.649178,-74.062827,25
2,Bogotá,4.649178,-74.062827,15
3,Bogotá,4.649178,-74.062827,15
4,Bogotá,4.649178,-74.062827,5
5,Bogotá,4.649178,-74.062827,49
6,Bogotá,4.649178,-74.062827,12
7,Bogotá,4.649178,-74.062827,20
8,Bogotá,4.649178,-74.062827,11
9,Bogotá,4.649178,-74.062827,38
10,Bogotá,4.649178,-74.062827,6
11,Bogotá,4.649178,-74.062827,28
12,Bogotá,4.649178,-74.062827,16
13,Bogotá,4.649178,-74.062827,31
14,Bogotá,4.649178,-74.062827,20
15,Bogotá,4.649178,-74.062827,41
16,Bogotá,4.649178,-74.062827,15
17,Bogotá,4.649178,-74.062827,9
18,Bogotá,4.649178,-74.062827,3
19,Bogotá,4.649178,-74.062827,20
20,Bogotá,4.649178,-74.062827,6
21,Bogotá,4.649178,-74.062827,27
22,Bogotá,4.649178,-74.062827,19
23,Bogotá,4.649178,-74.062827,3
24,Bogotá,4.649178,-74.062827,26
25,Bogotá,4.649178,-74.062827,10
26,Bogotá,4.649178,-74.062827,33
27,Bogotá,4.649178,-74.062827,18
28,Bogotá,4.649178,-74.062827,5
29,Bogotá,4.649178,-74.062827,38
30,Bogotá,4.649178,-74.062827,18
31,Bogotá,4.649178,-74.062827,23
32,Bogotá,4.649178,-74.062827,8
33,Bogotá,4.649178,-74.062827,37
34,Bogotá,4.649178,-74.062827,26
35,Bogotá,4.649178,-74.062827,40
36,Bogotá,4.649178,-74.062827,28
37,Bogotá,4.649178,-74.062827,24
38,Bogotá,4.649178,-74.062827,29
39,Bogotá,4.649178,-74.062827,13
40,Bogotá,4.649178,-74.062827,20
41,Bogotá,4.649178,-74.062827,40
42,Bogotá,4.649178,-74.062827,12
43,Bogotá,4.649178,-74.062827,9
44,Bogotá,4.649178,-74.062827,34
45,Bogotá,4.649178,-74.062827,8
46,Bogotá,4.649178,-74.062827,19
47,Bogotá,4.649178,-74.062827,27
48,Bogotá,4.649178,-74.062827,45
49,Bogotá,4.649178,-74.062827,13
50,Bogotá,4.649178,-74.062827,10
51,Bogotá,4.649178,-74.062827,16
52,Bogotá,4.649178,-74.062827,6
53,Bogotá,4.649178,-74.062827,16
54,Bogotá,4.649178,-74.062827,6
55,Bogotá,4.649178,-74.062827,21
56,Bogotá,4.649178,-74.062827,11
57,Bogotá,4.649178,-74.062827,5
58,Bogotá,4.649178,-74.062827,24
59,Bogotá,4.649178,-74.062827,10
60,Bogotá,4.649178,-74.062827,12
61,Bogotá,4.649178,-74.062827,12
62,Bogotá,4.649178,-74.062827,24
63,Bogotá,4.649178,-74.062827,13
64,Bogotá,4.649178,-74.062827,25
65,Bogotá,4.649178,-74.062827,40
66,Bogotá,4.649178,-74.062827,44
67,Bogotá,4.649178,-74.062827,9
68,Bogotá,4.649178,-74.062827,19
69,Bogotá,4.649178,-74.062827,33
70,Bogotá,4.649178,-74.062827,13
71,Bogotá,4.649178,-74.062827,14
72,Bogotá,4.649178,-74.062827,19
73,Bogotá,4.649178,-74.062827,35
74,Bogotá,4.649178,-74.062827,3
75,Bogotá,4.649178,-74.062827,21
76,Bogotá,4.649178,-74.062827,10
77,Bogotá,4.649178,-74.062827,14
78,Bogotá,4.649178,-74.062827,36
79,Bogotá,4.649178,-74.062827,21
80,Bogotá,4.649178,-74.062827,16
81,Bogotá,4.649178,-74.062827,24
82,Bogotá,4.649178,-74.062827,20
83,Bogotá,4.649178,-74.062827,3
84,Bogotá,4.649178,-74.062827,23
85,Bogotá,4.649178,-74.062827,9
86,Bogotá,4.649178,-74.062827,28
87,Bogotá,4.649178,-74.062827,18
88,Bogotá,4.649178,-74.062827,16
89,Bogotá,4.649178,-74.062827,35
90,Bogotá,4.649178,-74.062827,20
91,Bogotá,4.649178,-74.062827,36
92,Bogotá,4.649178,-74.062827,26
93,Bogotá,4.649178,-74.062827,13
94,Bogotá,4.649178,-74.062827,41
95,Bogotá,4.649178,-74.062827,17
96,Bogotá,4.649178,-74.062827,27
97,Bogotá,4.649178,-74.062827,21
98,Bogotá,4.649178,-74.062827,5
99,Bogotá,4.649178,-74.062827,14
100,Medellín,6.2518400000000005,-75.563591,48
101,Medellín,6.2518400000000005,-75.563591,17
102,Medellín,6.2518400000000005,-75.563591,16
103,Medellín,6.2518400000000005,-75.563591,7
104,Medellín,6.2518400000000005,-75.563591,34
105,Medellín,6.2518400000000005,-75.563591,39
106,Medellín,6.2518400000000005,-75.563591,26
107,Medellín,6.2518400000000005,-75.563591,36
108,Medellín,6.2518400000000005,-75.563591,10
109,Medellín,6.2518400000000005,-75.563591,37
110,Medellín,6.2518400000000005,-75.563591,17
111,Medellín,6.2518400000000005,-75.563591,15
112,Medellín,6.2518400000000005,-75.563591,24
113,Medellín,6.2518400000000005,-75.563591,10
114,Medellín,6.2518400000000005,-75.563591,33
115,Medellín,6.2518400000000005,-75.563591,6
116,Medellín,6.2518400000000005,-75.563591,16
117,Medellín,6.2518400000000005,-75.563591,22
118,Medellín,6.2518400000000005,-75.563591,13
119,Medellín,6.2518400000000005,-75.563591,34
120,Medellín,6.2518400000000005,-75.563591,34
121,Medellín,6.2518400000000005,-75.563591,6
122,Medellín,6.2518400000000005,-75.563591,10
123,Medellín,6.2518400000000005,-75.563591,12
124,Medellín,6.2518400000000005,-75.563591,22
125,Medellín,6.2518400000000005,-75.563591,27
126,Medellín,6.2518400000000005,-75.563591,36
127,Medellín,6.2518400000000005,-75.563591,39
128,Medellín,6.2518400000000005,-75.563591,18
129,Medellín,6.2518400000000005,-75.563591,8
130,Medellín,6.2518400000000005,-75.563591,11
131,Medellín,6.2518400000000005,-75.563591,15
132,Medellín,6.2518400000000005,-75.563591,5
133,Medellín,6.2518400000000005,-75.563591,14
134,Medellín,6.2518400000000005,-75.563591,52
135,Medellín,6.2518400000000005,-75.563591,9
136,Medellín,6.2518400000000005,-75.563591,47
137,Medellín,6.2518400000000005,-75.563591,7
138,Medellín,6.2518400000000005,-75.563591,23
139,Medellín,6.2518400000000005,-75.563591,18
140,Medellín,6.2518400000000005,-75.563591,13
141,Medellín,6.2518400000000005,-75.563591,12
142,Medellín,6.2518400000000005,-75.563591,16
143,Medellín,6.2518400000000005,-75.563591,12
144,Medellín,6.2518400000000005,-75.563591,11
145,Medellín,6.2518400000000005,-75.563591,10
146,Medellín,6.2518400000000005,-75.563591,12
147,Medellín,6.2518400000000005,-75.563591,36
148,Medellín,6.2518400000000005,-75.563591,15
149,Medellín,6.2518400000000005,-75.563591,31
150,Medellín,6.2518400000000005,-75.563591,17
151,Medellín,6.2518400000000005,-75.563591,6
152,Medellín,6.2518400000000005,-75.563591,26
153,Medellín,6.2518400000000005,-75.563591,27
154,Medellín,6.2518400000000005,-75.563591,17
155,Medellín,6.2518400000000005,-75.563591,10
156,Medellín,6.2518400000000005,-75.563591,34
157,Medellín,6.2518400000000005,-75.563591,40
158,Medellín,6.2518400000000005,-75.563591,25
159,Medellín,6.2518400000000005,-75.563591,13
160,Medellín,6.2518400000000005,-75.563591,14
161,Medellín,6.2518400000000005,-75.563591,15
162,Medellín,6.2518400000000005,-75.563591,10
163,Medellín,6.2518400000000005,-75.563591,6
164,Medellín,6.2518400000000005,-75.563591,9
165,Medellín,6.2518400000000005,-75.563591,32
166,Medellín,6.2518400000000005,-75.563591,38
167,Medellín,6.2518400000000005,-75.563591,13
168,Medellín,6.2518400000000005,-75.563591,23
169,Medellín,6.2518400000000005,-75.563591,37
