tweet,date,user_location,id,link
"Acaba de publicar una foto en Sincelejo, Sucre https://t.co/NXtmvBHF4E",2022-10-08 21:12:31+00:00,Periodista,1578855883882123264,https://twitter.com/i/web/status/1578855883882123264
"CEREVIDI FUE ESCUCHADO.

el centro de rehabilitación de vida diferente en el municipio de Sincelejo en el departamento de Sucre fue escuchada por el @ICBFColombia y el gobernador @hectorolimpo, ""todo se puede si no los proponemos, está pelea no acaba aquí""
Gracias @EstebanKle  🙏 https://t.co/6Vp0VuUug6",2022-10-08 20:53:40+00:00,"Montería, Colombia📍",1578851140057575424,https://twitter.com/i/web/status/1578851140057575424
Tú me puedes gustar mucho pero yo pa' Sincelejo no voy.🫣🫣🫣😂,2022-10-08 20:14:01+00:00,"Mompós, Colombia",1578841165478055937,https://twitter.com/i/web/status/1578841165478055937
Acabo de ver Veolia continua trabajos de reparación de fuga de agua en el centro de Sincelejo - Haga clic ver también ☛  https://t.co/RTfNhOWlhy vía @franjanoticias,2022-10-08 19:35:34+00:00,"Sincelejo, Colombia",1578831485578059776,https://twitter.com/i/web/status/1578831485578059776
"Continúan los trabajos de reparación total de la fuga de 20 pulgadas en la calle 25 con carrera 17 centro de Sincelejo. Ya se controló y para la reparación total está interrumpido el servicio en varios  sectores de las zonas 2, 3 y 5: que están siendo abastecidos con carrotanques https://t.co/I1IUHxDgOf",2022-10-08 19:11:15+00:00,Sincelejo- Sucre,1578825365807845376,https://twitter.com/i/web/status/1578825365807845376
"A esta hora con un clima delicioso en Sincelejo y pensando que Dios proteja a los habitantes de la Guajira y San Andrés y Providencia, lo mejor que podemos hacer por ellos es orar y pedirle a Dios que tenga misericordia de todos los posibles afectados.

https://t.co/80qWoLvGTJ",2022-10-08 19:06:15+00:00,,1578824111136337920,https://twitter.com/i/web/status/1578824111136337920
"Tal cual, así es como esta Sincelejo https://t.co/Vj9jqDPQQ5",2022-10-08 19:03:02+00:00,"Sincelejo, Colombia",1578823301786632192,https://twitter.com/i/web/status/1578823301786632192
@CABUSTAMANTEF Si señor así es no reclamos somos conforme por es que sincelejo no progresa aquí Sincelejo son conformista??????,2022-10-08 18:19:47+00:00,,1578812417488084992,https://twitter.com/i/web/status/1578812417488084992
@CarlosPaterC Sería bueno que sincelejo dependiera de Montería cómo cercanía a este departamento de Córdoba fuera sincelejo Córdoba como les parece?????,2022-10-08 17:53:17+00:00,,1578805745055064064,https://twitter.com/i/web/status/1578805745055064064
📳 #Programación oficial 37 Encuentro Nacional de #Bandas en #Sincelejo - Del 2 al 6 de noviembre de 2022 https://t.co/WN327IRuAh,2022-10-08 17:47:13+00:00,"Sincelejo, Colombia",1578804219494428672,https://twitter.com/i/web/status/1578804219494428672
